,Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO
0,NVIDIA GeForce GTX 1650,6.19%,6.07%,5.67%,5.30%,5.11%,-0.19%
1,NVIDIA GeForce RTX 3060,4.66%,4.90%,4.74%,4.88%,4.87%,-0.01%
2,NVIDIA GeForce GTX 1060,4.99%,4.94%,4.58%,4.60%,4.31%,-0.29%
3,NVIDIA GeForce RTX 3060 Laptop GPU,4.51%,4.54%,4.28%,3.76%,4.29%,+0.53%
4,NVIDIA GeForce RTX 2060,4.45%,4.53%,4.15%,4.10%,3.94%,-0.16%
5,NVIDIA GeForce RTX 3060 Ti,3.13%,3.33%,3.42%,3.43%,3.53%,+0.10%
6,NVIDIA GeForce GTX 1050 Ti,4.05%,3.83%,3.61%,3.50%,3.26%,-0.24%
7,NVIDIA GeForce RTX 3070,2.95%,3.06%,2.99%,3.26%,3.20%,-0.06%
8,NVIDIA GeForce RTX 3050,2.71%,2.80%,2.66%,2.46%,2.63%,+0.17%
9,NVIDIA GeForce GTX 1660 SUPER,2.69%,2.66%,2.62%,2.56%,2.57%,+0.01%
10,NVIDIA GeForce RTX 3080,1.94%,1.95%,2.02%,2.22%,2.25%,+0.03%
11,NVIDIA GeForce GTX 1660 Ti,2.25%,2.20%,2.09%,2.02%,2.13%,+0.11%
12,AMD Radeon Graphics,1.99%,2.06%,2.01%,2.08%,2.03%,-0.05%
13,Intel(R) Iris(R) Xe Graphics,1.69%,1.76%,1.70%,1.81%,1.80%,-0.01%
14,NVIDIA GeForce RTX 4060 Laptop GPU,0.24%,0.31%,0.81%,0.93%,1.63%,+0.70%
15,NVIDIA GeForce GTX 1050,2.04%,1.98%,1.78%,1.75%,1.63%,-0.12%
16,NVIDIA GeForce GTX 1070,1.61%,1.55%,1.51%,1.59%,1.52%,-0.07%
17,NVIDIA GeForce RTX 3070 Ti,1.37%,1.40%,1.42%,1.46%,1.50%,+0.04%
18,Intel(R) UHD Graphics,1.50%,1.56%,1.49%,1.53%,1.44%,-0.09%
19,NVIDIA GeForce RTX 2070 SUPER,1.45%,1.44%,1.39%,1.43%,1.41%,-0.02%
20,NVIDIA GeForce RTX 2060 SUPER,1.26%,1.29%,1.26%,1.28%,1.26%,-0.02%
21,NVIDIA GeForce GTX 1660,1.41%,1.43%,3.30%,1.26%,1.18%,-0.08%
22,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.28%,1.29%,1.20%,1.10%,1.15%,+0.05%
23,NVIDIA GeForce RTX 2070,1.08%,1.06%,1.00%,1.07%,1.04%,-0.03%
24,AMD Radeon RX 580,1.11%,1.10%,1.04%,1.07%,1.03%,-0.04%
25,NVIDIA GeForce GTX 1080,0.98%,0.97%,0.94%,1.00%,0.97%,-0.03%
26,NVIDIA GeForce RTX 3070 Laptop GPU,0.88%,0.89%,0.85%,0.85%,0.91%,+0.06%
27,NVIDIA GeForce GTX 1650 Ti,1.13%,1.10%,1.00%,0.91%,0.90%,-0.01%
28,NVIDIA GeForce RTX 3080 Ti,0.74%,0.73%,0.76%,0.85%,0.87%,+0.02%
29,NVIDIA GeForce RTX 4070 Ti,0.41%,0.46%,0.62%,0.68%,0.83%,+0.15%
30,NVIDIA GeForce RTX 3050 Laptop GPU,0.93%,0.96%,0.85%,0.74%,0.80%,+0.06%
31,NVIDIA GeForce RTX 4090,0.43%,0.44%,0.56%,0.65%,0.78%,+0.13%
32,AMD Radeon RX 570,0.88%,0.85%,0.80%,0.80%,0.75%,-0.05%
33,NVIDIA GeForce RTX 4070,-,0.21%,0.36%,0.55%,0.72%,+0.17%
34,AMD Radeon Vega 8 Graphics,0.83%,0.80%,0.74%,0.76%,0.69%,-0.07%
35,AMD Radeon RX 6700 XT,0.53%,0.53%,0.57%,0.63%,0.68%,+0.05%
36,AMD Radeon RX 5700 XT,0.62%,0.63%,0.62%,0.68%,0.67%,-0.01%
37,NVIDIA GeForce GTX 1080 Ti,0.62%,0.60%,0.60%,0.66%,0.64%,-0.02%
38,NVIDIA GeForce GTX 1650 SUPER,0.78%,0.75%,0.71%,0.67%,0.63%,-0.04%
39,NVIDIA GeForce RTX 3090,0.51%,0.49%,0.52%,0.60%,0.61%,+0.01%
40,NVIDIA GeForce GTX 970,0.65%,0.62%,0.60%,0.64%,0.59%,-0.05%
41,AMD Radeon RX 6600,0.49%,0.49%,0.52%,0.56%,0.57%,+0.01%
42,NVIDIA GeForce GT 1030,0.69%,0.66%,0.63%,0.60%,0.56%,-0.04%
43,NVIDIA GeForce RTX 2080 SUPER,0.55%,0.55%,0.52%,0.56%,0.55%,-0.01%
44,NVIDIA GeForce GTX 960,0.64%,0.60%,0.59%,0.56%,0.54%,-0.02%
45,NVIDIA GeForce RTX 4080,0.29%,0.33%,0.40%,0.47%,0.53%,+0.06%
46,Intel UHD Graphics 620,0.53%,0.55%,0.52%,0.56%,0.52%,-0.04%
47,NVIDIA GeForce GTX 750 Ti,0.63%,0.59%,0.58%,0.56%,0.51%,-0.05%
48,NVIDIA GeForce RTX 2080,0.50%,0.49%,0.47%,0.50%,0.49%,-0.01%
49,NVIDIA GeForce GTX 1070 Ti,0.50%,0.49%,0.47%,0.48%,0.47%,-0.01%
50,NVIDIA GeForce RTX 2080 Ti,0.41%,0.39%,0.41%,0.45%,0.46%,+0.01%
51,AMD Radeon(TM) Graphics,0.23%,0.25%,0.29%,0.36%,0.43%,+0.07%
52,NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.40%,0.40%,0.40%,0.39%,0.43%,+0.04%
53,AMD Radeon RX 6600 XT,0.40%,0.40%,0.39%,0.41%,0.42%,+0.01%
54,AMD Radeon RX 580 2048SP,0.31%,0.32%,0.34%,0.36%,0.40%,+0.04%
55,AMD Radeon Vega 3 Graphics,0.46%,0.44%,0.42%,0.44%,0.39%,-0.05%
56,NVIDIA GeForce RTX 4060 Ti,-,-,-,0.23%,0.38%,+0.15%
57,NVIDIA GeForce RTX 4050 Laptop GPU,-,-,0.16%,0.21%,0.37%,+0.16%
58,NVIDIA GeForce GT 730,0.43%,0.42%,0.41%,0.40%,0.37%,-0.03%
59,AMD Radeon RX 550,0.44%,0.42%,0.40%,0.38%,0.36%,-0.02%
60,Intel HD Graphics 620,0.34%,0.36%,0.34%,0.38%,0.33%,-0.05%
61,AMD Radeon RX 6800 XT,0.24%,0.23%,0.27%,0.31%,0.33%,+0.02%
62,Intel HD Graphics 520,0.32%,0.32%,0.32%,0.35%,0.32%,-0.03%
63,NVIDIA GeForce RTX 3050 Ti,0.35%,0.36%,0.32%,0.27%,0.31%,+0.04%
64,Intel HD Graphics 4600,0.31%,0.30%,0.30%,0.34%,0.30%,-0.04%
65,Intel HD Graphics 4000,0.30%,0.30%,0.28%,0.33%,0.28%,-0.05%
66,AMD Radeon RX 6750 XT,-,-,0.19%,0.21%,0.25%,+0.04%
67,AMD Radeon RX 5600 XT,0.24%,0.24%,0.24%,0.25%,0.25%,0.00%
68,Intel Haswell,0.26%,0.26%,0.25%,0.28%,0.25%,-0.03%
69,AMD Radeon RX 6900 XT,0.20%,0.20%,0.21%,0.25%,0.25%,0.00%
70,Intel UHD Graphics 630,0.25%,0.26%,0.26%,0.27%,0.24%,-0.03%
71,AMD Radeon RX 6650 XT,0.16%,0.16%,0.20%,0.21%,0.24%,+0.03%
72,Intel Ivy Bridge,0.24%,0.25%,0.24%,0.27%,0.24%,-0.03%
73,NVIDIA GeForce GTX 960M,0.27%,0.26%,0.23%,0.24%,0.23%,-0.01%
74,NVIDIA GeForce RTX 4060,-,-,-,-,0.23%,+0.23%
75,NVIDIA GeForce GT 710,0.27%,0.27%,0.25%,0.24%,0.23%,-0.01%
76,AMD Radeon RX 7900 XTX,-,-,-,0.17%,0.23%,+0.06%
77,NVIDIA GeForce 940M,0.28%,0.27%,0.24%,0.25%,0.23%,-0.02%
78,NVIDIA GeForce MX250,0.27%,0.25%,0.24%,0.24%,0.22%,-0.02%
79,AMD Radeon RX 5500 XT,0.23%,0.23%,0.22%,0.22%,0.22%,0.00%
80,Intel(R) UHD Graphics 630,0.23%,0.22%,0.24%,0.23%,0.22%,-0.01%
81,NVIDIA GeForce RTX 3080 Laptop GPU,0.19%,0.19%,0.19%,0.20%,0.21%,+0.01%
82,AMD Radeon RX 6500 XT,0.22%,0.22%,0.23%,0.21%,0.21%,0.00%
83,NVIDIA GeForce MX450,0.24%,0.23%,0.21%,0.21%,0.21%,0.00%
84,NVIDIA GeForce RTX 4070 Laptop GPU,-,-,-,-,0.19%,+0.19%
85,NVIDIA GeForce MX150,0.23%,0.21%,0.21%,0.21%,0.19%,-0.02%
86,Intel HD Graphics 5500,0.19%,0.19%,0.19%,0.20%,0.18%,-0.02%
87,NVIDIA GeForce MX350,0.21%,0.21%,0.19%,0.18%,0.18%,0.00%
88,AMD Radeon RX 560,0.22%,0.21%,0.20%,0.19%,0.18%,-0.01%
89,Intel HD Graphics 3000,0.19%,0.19%,0.18%,0.21%,0.18%,-0.03%
90,NVIDIA GeForce RTX T10-8,-,-,-,0.23%,0.18%,-0.05%
91,NVIDIA GeForce RTX 2070 with Max-Q Design,0.20%,0.19%,0.18%,0.18%,0.18%,0.00%
92,AMD Radeon RX Vega 11 Graphics,0.25%,0.24%,0.22%,0.21%,0.18%,-0.03%
93,NVIDIA GeForce GTX 950,0.21%,0.20%,0.19%,0.18%,0.17%,-0.01%
94,Intel(R) UHD Graphics 600,0.16%,0.17%,0.16%,0.18%,0.17%,-0.01%
95,AMD Radeon R7 Graphics,0.17%,0.16%,0.16%,0.17%,0.16%,-0.01%
96,NVIDIA GeForce GTX 750,0.19%,0.17%,0.18%,0.17%,0.16%,-0.01%
97,Intel HD Graphics 530,-,-,0.15%,0.17%,0.16%,-0.01%
98,Other,9.44%,9.48%,9.92%,10.01%,10.06%,+0.05%
99,NVIDIA GeForce RTX 3060,4.97%,5.24%,5.10%,5.32%,5.32%,0.00%
100,NVIDIA GeForce GTX 1650,6.58%,6.47%,6.10%,5.77%,5.58%,-0.19%
101,NVIDIA GeForce RTX 3060 Laptop GPU,4.79%,4.84%,4.60%,4.09%,4.68%,+0.59%
102,NVIDIA GeForce GTX 1060,5.33%,5.30%,4.94%,5.02%,4.72%,-0.30%
103,NVIDIA GeForce RTX 3060 Ti,3.34%,3.56%,3.68%,3.73%,3.86%,+0.13%
104,NVIDIA GeForce RTX 2060,4.75%,4.84%,4.48%,4.48%,4.30%,-0.18%
105,NVIDIA GeForce RTX 3070,3.14%,3.26%,3.21%,3.55%,3.50%,-0.05%
106,NVIDIA GeForce GTX 1050 Ti,4.33%,4.10%,3.89%,3.82%,3.57%,-0.25%
107,NVIDIA GeForce GTX 1660 SUPER,2.87%,2.85%,2.82%,2.79%,2.81%,+0.02%
108,NVIDIA GeForce RTX 3050,2.88%,2.98%,2.86%,2.67%,2.86%,+0.19%
109,NVIDIA GeForce GTX 1660 Ti,2.41%,2.35%,2.25%,2.21%,2.33%,+0.12%
110,NVIDIA GeForce RTX 3080,2.07%,2.09%,2.18%,2.42%,2.45%,+0.03%
111,NVIDIA GeForce GTX 1050,2.18%,2.12%,1.92%,1.91%,1.78%,-0.13%
112,AMD Radeon Graphics,2.11%,2.19%,2.16%,2.26%,2.20%,-0.06%
113,NVIDIA GeForce GTX 1070,1.73%,1.67%,1.64%,1.75%,1.67%,-0.08%
114,NVIDIA GeForce RTX 4060 Laptop GPU,-,0.33%,0.87%,1.01%,1.77%,+0.76%
115,NVIDIA GeForce RTX 2070 SUPER,1.56%,1.55%,1.50%,1.57%,1.54%,-0.03%
116,NVIDIA GeForce RTX 3070 Ti,1.46%,1.50%,1.53%,1.59%,1.64%,+0.05%
117,NVIDIA GeForce GTX 1660,1.50%,1.53%,3.54%,1.38%,1.28%,-0.10%
118,NVIDIA GeForce RTX 2060 SUPER,1.35%,1.38%,1.35%,1.39%,1.38%,-0.01%
119,NVIDIA GeForce RTX 2070,1.15%,1.13%,1.07%,1.16%,1.13%,-0.03%
120,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.36%,1.38%,1.29%,1.20%,1.26%,+0.06%
121,NVIDIA GeForce GTX 1080,1.06%,1.04%,1.02%,1.10%,1.07%,-0.03%
122,AMD Radeon RX 580,1.18%,1.17%,1.11%,1.16%,1.12%,-0.04%
123,NVIDIA GeForce GTX 1650 Ti,1.21%,1.17%,1.07%,0.99%,0.98%,-0.01%
124,NVIDIA GeForce RTX 3070 Laptop GPU,0.94%,0.95%,0.92%,0.93%,1.00%,+0.07%
125,NVIDIA GeForce RTX 4070 Ti,0.44%,0.49%,0.67%,0.74%,0.91%,+0.17%
126,NVIDIA GeForce RTX 3080 Ti,0.80%,0.78%,0.83%,0.92%,0.95%,+0.03%
127,NVIDIA GeForce RTX 4090,0.46%,0.47%,0.60%,0.72%,0.85%,+0.13%
128,NVIDIA GeForce RTX 3050 Laptop GPU,0.99%,1.02%,0.91%,0.81%,0.87%,+0.06%
129,AMD Radeon Vega 8 Graphics,0.91%,0.89%,0.83%,0.86%,0.78%,-0.08%
130,AMD Radeon RX 570,0.94%,0.91%,0.86%,0.87%,0.82%,-0.05%
131,AMD Radeon RX 6700 XT,0.57%,0.56%,0.61%,0.69%,0.74%,+0.05%
132,AMD Radeon RX 5700 XT,0.69%,0.70%,0.69%,0.78%,0.77%,-0.01%
133,NVIDIA GeForce GTX 1650 SUPER,0.83%,0.80%,0.77%,0.73%,0.69%,-0.04%
134,NVIDIA GeForce GTX 1080 Ti,0.67%,0.65%,0.66%,0.73%,0.71%,-0.02%
135,NVIDIA GeForce GTX 970,0.70%,0.66%,0.65%,0.71%,0.65%,-0.06%
136,NVIDIA GeForce RTX 3090,0.54%,0.53%,0.56%,0.66%,0.67%,+0.01%
137,NVIDIA GeForce GT 1030,0.74%,0.71%,0.68%,0.66%,0.62%,-0.04%
138,AMD Radeon RX 6600,0.52%,0.52%,0.56%,0.60%,0.62%,+0.02%
139,NVIDIA GeForce GTX 960,0.68%,0.64%,0.63%,0.62%,0.60%,-0.02%
140,NVIDIA GeForce RTX 2080 SUPER,0.59%,0.58%,0.57%,0.62%,0.60%,-0.02%
141,NVIDIA GeForce RTX 4080,0.31%,0.35%,0.43%,0.51%,0.58%,+0.07%
142,Intel UHD Graphics 620,0.60%,0.62%,0.59%,0.65%,0.59%,-0.06%
143,NVIDIA GeForce RTX 2080,0.53%,0.52%,0.51%,0.55%,0.54%,-0.01%
144,NVIDIA GeForce GTX 750 Ti,0.68%,0.63%,0.62%,0.61%,0.56%,-0.05%
145,NVIDIA GeForce RTX 2080 Ti,0.44%,0.42%,0.45%,0.49%,0.50%,+0.01%
146,NVIDIA GeForce GTX 1070 Ti,0.54%,0.52%,0.51%,0.52%,0.52%,0.00%
147,AMD Radeon(TM) Graphics,-,-,0.31%,0.39%,0.47%,+0.08%
148,AMD Radeon RX 6600 XT,0.45%,0.45%,0.45%,0.48%,0.49%,+0.01%
149,AMD Radeon RX 580 2048SP,0.33%,0.34%,0.37%,0.39%,0.44%,+0.05%
150,NVIDIA GeForce RTX 3070 Ti Laptop GPU,0.42%,0.43%,0.43%,0.43%,0.47%,+0.04%
151,NVIDIA GeForce RTX 4050 Laptop GPU,-,-,-,-,0.41%,+0.41%
152,AMD Radeon Vega 3 Graphics,0.48%,0.47%,0.45%,0.47%,0.43%,-0.04%
153,AMD Radeon RX 550,0.47%,0.44%,0.42%,0.42%,0.39%,-0.03%
154,NVIDIA GeForce GT 730,0.46%,0.45%,0.44%,0.44%,0.40%,-0.04%
155,Intel HD Graphics 520,0.36%,0.35%,0.35%,0.40%,0.36%,-0.04%
156,Intel HD Graphics 620,0.38%,0.40%,0.37%,0.43%,0.38%,-0.05%
157,Intel HD Graphics 4600,0.35%,0.35%,0.34%,0.39%,0.35%,-0.04%
158,AMD Radeon RX 6800 XT,-,-,-,0.34%,0.36%,+0.02%
159,Other,15.53%,14.97%,14.41%,14.83%,13.80%,-1.03%
160,NVIDIA GeForce RTX 3050 Ti,0.37%,0.38%,0.34%,-,0.34%,+0.34%
161,Intel Haswell,17.86%,17.67%,18.46%,18.63%,19.00%,+0.37%
162,Intel HD Graphics 4000,24.97%,25.38%,24.40%,24.70%,24.38%,-0.32%
163,Intel Cherryview Cherrytrail,6.13%,6.25%,5.92%,6.45%,6.57%,+0.12%
164,Intel Ivy Bridge,16.90%,17.10%,17.92%,18.21%,18.08%,-0.13%
165,ATI Radeon HD 5450,2.97%,2.93%,2.96%,2.90%,3.18%,+0.28%
166,Intel Valleyview Baytrail,6.18%,6.21%,5.94%,6.46%,6.09%,-0.37%
167,AMD Radeon HD 6670,2.01%,1.92%,1.88%,1.72%,1.94%,+0.22%
168,AMD Radeon HD 6450,2.08%,1.96%,2.17%,2.10%,2.06%,-0.04%
169,AMD Radeon HD 6570,2.08%,1.91%,2.14%,1.78%,1.76%,-0.02%
170,ATI Radeon HD 5700 Series,1.92%,1.91%,1.95%,1.69%,1.77%,+0.08%
171,ATI Mobility Radeon HD 5000 Series,1.80%,1.74%,1.66%,1.78%,1.59%,-0.19%
172,AMD Radeon HD 6700 Series,1.83%,1.59%,1.75%,1.67%,1.63%,-0.04%
173,AMD Radeon HD 6900 Series,0.78%,0.77%,0.78%,0.77%,0.82%,+0.05%
174,AMD Radeon HD 6800 Series,1.34%,1.32%,1.26%,1.33%,1.37%,+0.04%
175,ATI Radeon HD 5800 Series,0.78%,0.73%,0.87%,0.78%,0.77%,-0.01%
176,ATI Radeon HD 5670,0.91%,0.85%,0.85%,0.69%,0.79%,+0.10%
177,AMD Radeon 6600M and 6700M Series,1.13%,1.20%,0.86%,0.77%,0.72%,-0.05%
178,AMD Radeon HD 7400M Series,0.69%,0.65%,0.70%,0.80%,0.73%,-0.07%
